index_number,description,sentiment_labels,sentiment_scores,intensity_scores,clusters
132,"The BJP president has requested Bengal governor CV Bose to take action against CM Mamata Banerjee over her statement suggesting unrest in Bengal could have wider repercussions. BJP state president Sukanta Majumdar labelled Mamata’s words as anti-national and driven by revenge politics, urging the governor for appropriate measures to address the situation.",neutral,0.5090053081512451,-0.47,0
133,India,neutral,0.6222667098045349,0.27,0
134,,neutral,0.6808650493621826,0.13,0
135,Canada's 2023 wildfires emit more carbon than Russia and Japan combined: Nasa,neutral,0.7057462334632874,-0.24,0
136,"Scientists from Nasa's Jet Propulsion Laboratory report that Canadian wildfires from May to September 2023 released 640 million metric tons of carbon, surpassing the annual fossil fuel emissions of Russia and Japan in 2022. The fires were fueled by unusually warm and dry conditions, affecting 18 million hectares of forest.",neutral,0.8735880851745605,0.03,0
137,,neutral,0.6808650493621826,0.13,0
138,Those born with silver spoon in mouth won't understand plight of the poor: Ajit Pawar,negative,0.7453231811523438,-0.73,0
139,"Deputy Chief Minister of Maharashtra, Ajit Pawar, assured the public about the state's commitment to welfare schemes for the underprivileged, countering opposition criticism. He highlighted financial aid for women and free cooking gas cylinders as key initiatives. Pawar assured the public that Maharashtra's finances are strong enough to sustain these programs.",positive,0.6810747981071472,0.68,2
140,India,neutral,0.6222667098045349,0.27,0
141,,neutral,0.6808650493621826,0.13,0
142,DGCA fines Air India Express for not compensating flyers for delays,negative,0.7410812377929688,-0.73,0
143,"The Directorate General of Civil Aviation (DGCA) fined Air India Express Rs 10 lakh for not following passenger-centric rules. A recent inspection showed the airline's non-compliance with regulations on flight cancellations, delays, and compensations. This penalty is part of DGCA's ongoing efforts in its 2024 surveillance program to protect passenger interests.",negative,0.7829819321632385,-0.78,0
144,India,neutral,0.6222667098045349,0.27,0
145,,neutral,0.6808650493621826,0.13,0
146,Court refuses to quash defamation case against Shashi Tharoor over 'scorpion' remark on PM Modi,negative,0.5018662810325623,-0.49,0
147,Delhi high court has declined to dismiss a defamation case against Shashi Tharoor for his 2018 remark likening Prime Minister Modi to a 'scorpion'. The trial court issued a summons following a criminal defamation suit by BJP leader Rajiv Babbar. Tharoor later clarified that he quoted an RSS leader's metaphor.,negative,0.51034015417099,-0.5,0
148,India,neutral,0.6222667098045349,0.27,0
149,,neutral,0.6808650493621826,0.13,0
150,'Rahul Gandhi's politics has changed': Smriti Irani dissects his new 'white T-shirt strategy',neutral,0.902182936668396,0.01,0
151,"BJP leader Smriti Irani remarked on Congress leader Rahul Gandhi's strategic shift towards caste politics and symbolic moves, suggesting it's a calculated effort due to past failures in other approaches. Irani emphasised Gandhi's deliberate use of caste rhetoric to garner political traction and believes his strategy marks a significant evolution in his political approach.",neutral,0.8505361676216125,0.05,0
152,India,neutral,0.6222667098045349,0.27,0
153,,neutral,0.6808650493621826,0.13,0
154,'Fifty percent confirmed India is coming to Pakistan for Champions Trophy' - says Rashid Latif,neutral,0.7179868221282959,0.27,0
155,"The Champions Trophy returns to the ICC calendar next February and March in Pakistan, after a seven-year gap. India's participation, however, is uncertain due to the tense political relations between the two countries, but Rashid Latif believes it's likely. India's last visit to Pakistan was for the Asia Cup in 2008.",neutral,0.8820982575416565,0.1,0
156,Sports,neutral,0.6054787039756775,0.26,0
157,,neutral,0.6808650493621826,0.13,0
158,"Hillary Clinton, down with Covid, skips $100k-a-head Kamala Harris fundraiser, raising over $2 million: Report",neutral,0.7644941806793213,-0.14,0
159,"Hillary Clinton, unable to attend a Hamptons fundraiser due to a positive Covid-19 test, was replaced by Bill Clinton at the high-profile event for Kamala Harris and Tim Walz. The event raised over $2 million, reflecting strong support for Harris ahead of the election, despite recent Covid cases at the Democratic National Convention.",neutral,0.8290034532546997,0.11,0
160,World,neutral,0.5976827144622803,0.22,0
161,,neutral,0.6808650493621826,0.13,0
162,Three Pakistan hockey players slapped with life-ban for seeking...,negative,0.6837125420570374,-0.67,0
163,"Three Pakistani hockey players and a physiotherapist have been banned for life for attempting to seek asylum in Europe during the Nations Cup without notifying the Pakistan Hockey Federation. The incident is seen as damaging to Pakistan hockey, further complicating visa applications for future competitions. Efforts are being made to get them deported. ",negative,0.8214020729064941,-0.82,0
164,Sports,neutral,0.6054787039756775,0.26,0
165,,neutral,0.6808650493621826,0.13,0
166,FAA grounds SpaceX Falcon9 rockets after booster crash; could impact already delayed spacewalk mission,negative,0.6702985167503357,-0.66,0
167,"SpaceX rocket launches have been suspended after a Falcon 9 booster crash during a landing attempt, causing a fire. Following the incident, the FAA began an investigation and will need to approve corrective actions before resuming flights. The suspension impacts SpaceX's upcoming private and NASA crew missions, and other scheduled launches.",negative,0.600363552570343,-0.59,0
168,,neutral,0.6808650493621826,0.13,0
169,"New ICC chairman Jay Shah thanks Virat Kohli, Rohit Sharma and others for their wishes",positive,0.8513292074203491,0.85,3
170,"Jay Shah, the new chairman of the ICC, thanked Virat Kohli, Rohit Sharma, and others from the Indian and international cricket fraternity for their congratulations. Shah, currently the BCCI secretary, will take over in December and at 35 years old, he is the youngest to lead the ICC. He aims to globalize cricket and enhance its global appeal.",positive,0.8797140121459961,0.88,3
171,Sports,neutral,0.6054787039756775,0.26,0
172,,neutral,0.6808650493621826,0.13,0
173,Delhi high court extends interim protection for suspended IAS officer Puja Khedkar,neutral,0.9167256355285645,0.01,0
174,"The Delhi High Court extended interim protection for suspended IAS probationer Puja Khedkar, accused of cheating to fraudulently secure OBC and disability quotas. The anticipatory bail plea hearing was postponed to September 5, as Delhi Police needed more time for reviewing her rejoinder and submitting a new status report. ",neutral,0.5131474137306213,-0.46,0
175,India,neutral,0.6222667098045349,0.27,0
176,,neutral,0.6808650493621826,0.13,0
177,Why ED slapped Rs 89 crore fine on DMK MP,neutral,0.5137671828269958,-0.45,0
178,"DMK MP Jagathrakshakan has been fined Rs 908 crore by the Enforcement Directorate for violations of FEMA regulations. Properties worth Rs 89 crore have also been confiscated. The charges include investments into a Singapore shell company and a Sri Lankan entity. The Madras High Court dismissed their appeals recently, affirming the penalties.",negative,0.7955870032310486,-0.79,0
179,,neutral,0.6808650493621826,0.13,0
180,Buy stationery if you want CSR report from Chennai cops,neutral,0.7759876251220703,-0.12,0
181,"Vasanth encountered significant challenges while trying to obtain an accident report from Pallikaranai police station, essential for his insurance claim. He and his father spent hours navigating departments, faced refusal from police, and ended up buying stationery as demanded. After two days, they finally received the document, prompting an investigation promise by authorities.",neutral,0.5698459148406982,-0.36,0
182,,neutral,0.6808650493621826,0.13,0
183,JD Vance stirs controversy with 'Cats for Vance 2024' post amid backlash,neutral,0.7663496136665344,-0.19,0
184,"Ohio Senator JD Vance recently posted a photo of a cat wearing a “Cats for Vance 2024” bandana on social media. This post comes in the wake of criticism over his controversial remarks about childless individuals. Vance's attempt to use humor has drawn mixed reactions, with some appreciating the gesture while others find it dismissive of serious concerns.",neutral,0.6943804025650024,-0.25,0
185,World,neutral,0.5976827144622803,0.22,0
186,,neutral,0.6808650493621826,0.13,0
187,East India company stamp paper found in Tamil Nadu village,neutral,0.8517115712165833,-0.06,0
188,"A rare 1818 stamp paper from the East India Company, signed by the female zamindar Chinnobalamma, was found in Tamil Nadu's Palani. The document lists 23 property managers and features inscriptions in multiple languages. This bond was executed after Chinnobalamma's husband's death and valued at two annas, shedding light on administrative practices of that time.",neutral,0.937583863735199,0.03,0
189,,neutral,0.6808650493621826,0.13,0
190,'You will achieve...': Manu Bhaker recalls PM Modi's encouragement when she met him for the first time as a 16 years old,positive,0.840464174747467,0.84,3
191,"Indian Olympic medallist and pistol shooter Manu Bhaker credited Prime Minister Narendra Modi for his inspiring guidance. At the 2024 Paris Olympics, she made history with two bronze medals, one in the women's 10m air pistol and another in the Mixed 10m Air Pistol. PM Modi's encouragement has been pivotal in her sporting journey.",positive,0.9505110383033752,0.95,-1
192,Sports,neutral,0.6054787039756775,0.26,0
193,,neutral,0.6808650493621826,0.13,0
194,800 passports cleared by Ahmedabad graft-tainted cop under scanner,neutral,0.8324694037437439,-0.03,0
195,"The arrest of assistant sub-inspector Bharatgiri Goswami for allegedly accepting bribes for passport verifications has put nearly 800 passports under scrutiny. Serving for 25 years, Goswami is suspected of issuing clearance certificates without proper protocols. Numerous complaints against him were ignored, and authorities now probe the extent of his corrupt activities.",negative,0.8198672533035278,-0.81,0
196,,neutral,0.6808650493621826,0.13,0
197,Espionage case: Gujarat HC denies bail to Pakistani refugee,negative,0.6028293967247009,-0.59,0
198,"The Gujarat High Court denied bail to Labhshankar Maheshwari, a former Pakistani citizen turned Indian, implicated in espionage for allegedly assisting Pakistani agencies in monitoring Indian defense personnel. Arrested by the Gujarat ATS, Maheshwari is accused of sending tracking malware on WhatsApp. The state opposed bail citing the seriousness of the charges.",negative,0.613792896270752,-0.6,0
199,,neutral,0.6808650493621826,0.13,0
200,EC issues notification for phase-2 polling in Jammu and Kashmir assembly polls,neutral,0.9261381030082704,0.02,0
201,"The Election Commission has issued a notification for the second phase of assembly elections in Jammu and Kashmir. Elections will take place on September 25, with nominations due by September 5. This is the first assembly election since the abrogation of Article 370. The polls are expected to see multi-cornered contests across various constituencies.",neutral,0.9498831629753112,0.03,0
202,India,neutral,0.6222667098045349,0.27,0
203,,neutral,0.6808650493621826,0.13,0
204,"Ghulam Nabi Azad steps back from Jammu and Kashmir assembly polls, citing health issues",neutral,0.5884886980056763,-0.39,0
205,"Ghulam Nabi Azad, the leader of the Democratic Progressive Azad Party (DPAP), is unable to campaign for the upcoming Jammu and Kashmir assembly elections because of health issues. Having experienced chest pain on August 25 and being hospitalized at AIIMS New Delhi, Azad's absence will significantly impact DPAP candidates, especially in the Doda and Bhaderwah constituencies.",negative,0.6773152947425842,-0.67,0
206,India,neutral,0.6222667098045349,0.27,0
207,,neutral,0.6808650493621826,0.13,0
208,Taylor Swift’s Vienna concert: CIA reveals foiled terror plot aiming to kill tens of thousands at venue,negative,0.8412162661552429,-0.84,0
209,"A CIA disruption prevented a terrorist attack connected to ISIS targeting Taylor Swift’s concert in Vienna, intending to kill tens of thousands. Austrian authorities detained three suspects. The cancellation of all three concerts saved countless lives. Taylor Swift expressed profound gratitude and relief on social media for averting a tragedy.",negative,0.5081984400749207,-0.45,0
210,World,neutral,0.5976827144622803,0.22,0
211,,neutral,0.6808650493621826,0.13,0
212,Sachin Tendulkar thanks Maharashtra Government for its decision to...,positive,0.900078535079956,0.9,3
213,"Sachin Tendulkar has thanked the Maharashtra Government for its decision to erect a statue of his childhood coach, the Late Ramakant Achrekar, at the Shivaji Park in Mumbai. The monument will honor Achrekar’s contributions to the sport. The memorial statue will feature signatures of 14 Indian cricketers he coached, including Tendulkar. ",positive,0.8498353958129883,0.85,3
214,Sports,neutral,0.6054787039756775,0.26,0
215,,neutral,0.6808650493621826,0.13,0
216,On this day: Birth of Ashes - one of the most iconic cricket rivalries,positive,0.8601512908935547,0.86,3
217,"The Ashes is a legendary cricket rivalry between England and Australia dating back to 1882. Highlights include the controversial 1932/33 ""Bodyline"" series and the memorable 2005 series. The 2023 series ended in a 2-2 draw. Australia has held the Ashes since 2018, with England aiming to win them back in the 2025-26 tour.",neutral,0.526429295539856,0.47,1
218,Sports,neutral,0.6054787039756775,0.26,0
219,,neutral,0.6808650493621826,0.13,0
220,"EXCLUSIVE | 'When a team like Australia can tour Pakistan, why not India?' Former Pakistan cricketer questions BCCI",neutral,0.9285351037979126,0.02,0
221,"Pakistan have hosted teams from Australia, Bangladesh, England, New Zealand, South Africa, Sri Lanka, and the West Indies in the past few years. It has led to former Pakistan wicketkeeper-batsman Kamran Akmal questioning the BCCI, asking why India cannot travel to Pakistan when teams like Australia have done so. The last time Pakistan hosted India was in 2005-06, where Pakistan won the three-match Test series 1-0, while India claimed the ODI series with a 4-1 margin.",neutral,0.877346396446228,-0.04,0
222,Sports,neutral,0.6054787039756775,0.26,0
223,,neutral,0.6808650493621826,0.13,0
224,'Never threatened ... ': Bengal CM Mamata clarifies remarks made during TMCP rally,neutral,0.8753694891929626,0.08,0
225,"West Bengal Chief Minister Mamata Banerjee clarified her remarks accusing the BJP-led Centre of undermining democracy and attempting to create anarchy in the state. She denied targeting medical students or their protests, affirming support for their cause. Her comments have prompted criticism from BJP leaders, including Assam's Himanta Biswa Sarma and Manipur's N Biren Singh.",negative,0.685772180557251,-0.68,0
226,India,neutral,0.6222667098045349,0.27,0
227,,neutral,0.6808650493621826,0.13,0
228,"Who is Kash Patel, ‘the man who will do anything for Trump’",negative,0.5155080556869507,-0.49,0
229,"Kash Patel, a lawyer with limited government experience, rapidly ascended in the Trump administration since 2019. His loyalty earned him key Defense and Intelligence roles, drawing criticism. Post-administration, Patel stays close to Trump, involved in promotional activities, writing, and testifying in investigations. Challenges may await him in any future Trump presidency.",neutral,0.8106849789619446,-0.02,0
230,World,neutral,0.5976827144622803,0.22,0
231,,neutral,0.6808650493621826,0.13,0
232,Lakshya Sen wants to be the Virat Kohli of Indian badminton,neutral,0.7321273684501648,0.19,0
233,"Lakshya Sen's pursuit of an Olympic medal at the Paris Games ended in heartbreak as he suffered a 13-21, 21-16, 21-11 defeat against Malaysia's Lee Zii Jia in the bronze-medal match. Despite the setback, the 23-year-old shuttler's performance has bolstered his confidence and determination to reach greater heights in his career.",neutral,0.5214306116104126,-0.31,-1
234,Sports,neutral,0.6054787039756775,0.26,0
235,,neutral,0.6808650493621826,0.13,0
236,'Just copy what India is doing': Former Pakistan cricketer urges PCB to build a solid foundation for national team,neutral,0.817518413066864,0.07,0
237,"Basit Ali, a former cricketer, calls on the Pakistan Cricket Board to focus on red-ball cricket to improve the national team's performance. He criticizes the board's strategy of mirroring systems from other countries and recommends following India's model, which uses red-ball tournaments like the Duleep Trophy to build a solid foundation.",neutral,0.7686110138893127,-0.12,0
238,Sports,neutral,0.6054787039756775,0.26,0
239,,neutral,0.6808650493621826,0.13,0
240,What is the best time to exercise?,neutral,0.6993486285209656,0.28,0
241,"Regular exercise benefits health, yet determining the best time to work out depends on individual preferences and schedules. Morning sessions can enhance metabolism and mood, afternoon workouts improve performance, and evening exercise aids relaxation. Choose a consistent routine that aligns with personal energy levels and fitness goals for optimal results. ",positive,0.7142817974090576,0.7,2
242,LifeStyle,neutral,0.7627465724945068,0.1,0
243,,neutral,0.6808650493621826,0.13,0
244,Novak Djokovic advances to third round after Laslo Djere retires injured,neutral,0.9158936142921448,0.05,0
245,Defending US Open champion Novak Djokovic kept his bid for a record 25th Grand Slam title on track on Wednesday after fellow Serb Laslo Djere retired injured while trailing 6-4 6-4 2-0 in their second-round match. Djokovic had needed five sets to get past Djere in the third round a year ago and it looked as though Arthur Ashe Stadium would see another epic clash between the two as Djere went up a break in the second set.,neutral,0.7826283574104309,0.2,0
246,Sports,neutral,0.6054787039756775,0.26,0
247,,neutral,0.6808650493621826,0.13,0
248,"Delhi citizens to pay traffic fines via WhatsApp, Google Pay, and UPI",neutral,0.8425105810165405,-0.09,0
249,"The New Delhi transport department is introducing a new system to simplify the payment of road challans. Violators will receive automated messages containing payment details through SMS and WhatsApp. Additionally, payments can be made via UPI apps such as Bhim and Google Pay, enhancing convenience and increasing governmental revenue. The system is expected to be launched soon.",positive,0.4977033138275146,0.49,1
250,The Economic Times,neutral,0.8422104120254517,0.0,0
251,Hindi Economic Times,neutral,0.9049307107925416,0.03,0
252,Navbharat Times,neutral,0.8669137954711914,0.04,0
253,Maharashtra Times,neutral,0.8865054249763489,0.03,0
254,Vijaya Karnataka,neutral,0.7997313737869263,0.14,0
255,Telugu Samayam,neutral,0.7795313000679016,0.14,0
256,Tamil Samayam,neutral,0.8233535289764404,0.1,0
257,Malayalam Samayam,neutral,0.8321271538734436,0.11,0
258,I am Gujarat,neutral,0.7427678108215332,0.14,0
259,TimesPoints,neutral,0.7677948474884033,-0.01,0
260,Indiatimes,neutral,0.7504243850708008,0.04,0
261,Brand Capital,neutral,0.8535194993019104,0.08,0
262,Education Times,neutral,0.8736155033111572,0.05,0
263,Times Food,neutral,0.7995722889900208,0.08,0
264,Mumbai Mirror,neutral,0.9066842198371888,0.03,0
265,Bangalore Mirror,neutral,0.9028431177139282,0.05,0
266,MX Player,neutral,0.8079507946968079,0.13,0
267,Hindi Podcast,neutral,0.8290367722511292,0.15,0
268,iDiva ,neutral,0.8357519507408142,0.12,0
269,MensXP.com ,neutral,0.8760951161384583,0.09,0
270,Femina ,neutral,0.8268575668334961,0.06,0
271,ETimes,neutral,0.801149845123291,0.02,0
272,Grazia ,neutral,0.7305798530578613,0.19,0
273,Zoom ,neutral,0.7636826634407043,0.16,0
274,Travel Destinations ,neutral,0.8966536521911621,0.07,0
275,Bombay Times ,neutral,0.9072824120521544,0.05,0
276,Cricbuzz.com ,neutral,0.8988523483276367,0.01,0
277,Filmfare ,neutral,0.8834090232849121,0.07,0
278,Online Songs ,neutral,0.912559688091278,0.05,0
279,TV,neutral,0.601172149181366,0.23,0
280,Lifestyle ,neutral,0.8180381059646606,0.13,0
281,Longwalks App,neutral,0.8045535087585449,0.13,0
282,Newspaper Subscription,neutral,0.8533018231391907,0.11,0
283,Food News,neutral,0.8039918541908264,0.1,0
284,Times Prime,neutral,0.7665041089057922,0.13,0
285,Whats Hot,neutral,0.7158288359642029,0.13,0
286,UEFA Champions League,neutral,0.6988809108734131,0.27,0
287,Pavel Durov Education,neutral,0.8964404463768005,0.04,0
288,Reliance AGM,neutral,0.8348133563995361,0.15,0
289,Mukesh Ambani,neutral,0.7732667922973633,0.16,0
290,Who is Elizabeth Huberdeau,neutral,0.9074053168296814,-0.0,0
291,Paris Paralympics Day 1 Live,neutral,0.7909502387046814,0.19,0
292,Basit Ali,neutral,0.7974233627319336,0.06,0
293,Sachin Tendulkar,neutral,0.6461929678916931,0.32,0
294,Gautam Adani,neutral,0.6922664642333984,0.23,0
295,Cristiano Ronaldo,positive,0.5268803238868713,0.51,1
296,CSIR UGC NET Result,neutral,0.8465175628662109,0.02,0
297,US Election,neutral,0.7800121307373047,0.1,0
298,Elon Musk,neutral,0.6830647587776184,0.23,0
299,Paris Paralympics Schedule,neutral,0.8612231612205505,0.11,0
300,India Paris Paralympics Schedule,neutral,0.8826523423194885,0.09,0
301,Live Cricket Score,neutral,0.7949255704879761,0.12,0
302,Ads 2 Book,neutral,0.8672587275505066,0.08,0
303,ET Money Finance App,neutral,0.851107656955719,0.09,0
304,CouponDunia,neutral,0.7316769957542419,-0.03,0
305,Dineout,neutral,0.7350656986236572,0.19,0
306,Magicbricks,neutral,0.6595864295959473,0.21,0
307,Techgig,neutral,0.6393551230430603,0.2,0
308,Times Jobs,neutral,0.6710978746414185,0.12,0
309,Bollywood News,neutral,0.7584648132324219,0.02,0
310,Times Mobile,neutral,0.7875904440879822,0.09,0
311,Gadgets Now,neutral,0.7692846655845642,0.19,0
312,Careers,neutral,0.7445905804634094,0.08,0
313,Colombia,neutral,0.7654385566711426,0.05,0
314,Headlines,neutral,0.8129168152809143,-0.04,0
315,Sports News,neutral,0.7984464764595032,0.08,0
316,Business News,neutral,0.7225741744041443,0.09,0
317,India News,neutral,0.7296682596206665,0.04,0
318,World News,neutral,0.7423023581504822,0.05,0
319,Bollywood News,neutral,0.7584648132324219,0.02,0
320,Health & Fitness Tips,neutral,0.7379682064056396,0.19,0
321,Indian TV Shows,neutral,0.7914635539054871,0.13,0
322,Celebrity Photos,neutral,0.789524495601654,0.19,0
323,Popular News,neutral,0.5800049304962158,-0.16,0
324,Optical Illusion,positive,0.6364910006523132,0.61,2
325,Stree 2 Collection,neutral,0.9047383069992064,0.07,0
326,Nick Jonas,neutral,0.7850620746612549,0.19,0
327,Sharmila Tagore,neutral,0.7059665322303772,0.23,0
328,Ginger Water,neutral,0.8528586626052856,0.09,0
329,Salman Khan,neutral,0.7434154748916626,0.2,0
330,Parenting Tips,neutral,0.7211936712265015,0.07,0
331,Chia Seeds,neutral,0.6939361095428467,-0.03,0
332,Sonali Bendre,neutral,0.785102128982544,0.08,0
333,Mollywood sexual News,neutral,0.6665018200874329,-0.25,0
334,Anupamaa,neutral,0.7477825284004211,0.06,0
335,Vijay Verma,neutral,0.6338542103767395,0.33,0
336,Aly Goni,neutral,0.7517592906951904,0.15,0
337,Shah Rukh Khan,neutral,0.6100053787231445,0.37,0
338,Passport Seva Portal Shut Down,neutral,0.5329268574714661,-0.44,0
339,Optical Illusion,positive,0.6364910006523132,0.61,2
340,Sudhanshu Pandey,neutral,0.8235027194023132,0.09,0
341,New Seven Wonders of the World,neutral,0.5717592239379883,0.39,0
342,Stomach,neutral,0.5676288604736328,-0.14,0
343,Thangalaan Collection,neutral,0.7363342046737671,0.17,0
344,Kangana Ranaut,neutral,0.8483493328094482,0.09,0
345,Arshad Warsis,neutral,0.7956295013427734,0.06,0
346,Taeil,neutral,0.7531836032867432,0.17,0
347,Kangana Ranaut,neutral,0.8483493328094482,0.09,0
348,Taapsee Pannu,neutral,0.8097062110900879,0.12,0
349,Best Antivirus For Android,positive,0.8615097999572754,0.85,3
350,Facial Hair Trimmers For Women,neutral,0.8510043025016785,0.11,0
351,Wordle Answer,neutral,0.7998571991920471,0.07,0
352,Virat Kohli Deepfake Video,neutral,0.7646953463554382,-0.11,0
353,,neutral,0.6808650493621826,0.13,0
354,,neutral,0.6808650493621826,0.13,0
355,,neutral,0.6808650493621826,0.13,0
356,,neutral,0.6808650493621826,0.13,0
357,,neutral,0.6808650493621826,0.13,0
358,,neutral,0.6808650493621826,0.13,0
359,,neutral,0.6808650493621826,0.13,0
360,,neutral,0.6808650493621826,0.13,0
361,,neutral,0.6808650493621826,0.13,0
362,android,neutral,0.5724087357521057,0.23,0
363,iphone,neutral,0.6217905282974243,0.27,0
364,ipad,neutral,0.5968225002288818,-0.05,-1
365,,neutral,0.6808650493621826,0.13,0
366,About us ,neutral,0.8176370859146118,0.13,0
367,Create Your Own Ad ,neutral,0.8310387134552002,0.09,0
368,Terms of Use and Grievance Redressal Policy ,neutral,0.9219141006469728,-0.03,0
369,Privacy policy ,neutral,0.8906152248382568,0.01,0
370,Privacy policy ,neutral,0.8906152248382568,0.01,0
371,Advertise with us ,neutral,0.7878958582878113,0.2,0
372,RSS ,neutral,0.7668317556381226,-0.06,0
373,Newsletter ,neutral,0.8299222588539124,0.1,0
374,Feedback ,neutral,0.8497288227081299,0.08,0
375,ePaper ,neutral,0.8519870042800903,0.04,0
376,Sitemap ,neutral,0.8389254808425903,0.1,0
377,Archives ,neutral,0.8482816219329834,0.1,0
378,Do Not Sell Data,neutral,0.7806727886199951,-0.15,0
379,Cookie Policy,neutral,0.8435285687446594,-0.06,0
380,DNPA Code of Ethics,neutral,0.8190820217132568,-0.02,0
381,Times Syndication Service,neutral,0.8823549747467041,0.03,0
382,Tamil News,neutral,0.7344748377799988,0.08,0
383,Telugu News,neutral,0.813370406627655,0.05,0
384,Kannada News,neutral,0.8336942195892334,0.0,0
385,Malayalam News,neutral,0.878995954990387,0.05,0
386,ET Mobile,neutral,0.817561686038971,0.09,0
387,Indiatimes,neutral,0.7504243850708008,0.04,0
388,Times Jobs,neutral,0.6710978746414185,0.12,0
389,Follo,neutral,0.6786307692527771,0.11,0
390,GreetZap,neutral,0.7898904085159302,0.16,0
391,Alive,neutral,0.6011250019073486,0.33,0
392,Active World,neutral,0.7108839750289917,0.2,0
393,Magicbricks,neutral,0.6595864295959473,0.21,0
394,Ads 2 Book,neutral,0.8672587275505066,0.08,0
395,Astrospeak,neutral,0.8042352795600891,0.07,0
396,Navbharat Times,neutral,0.8669137954711914,0.04,0
397,Longwalks App,neutral,0.8045535087585449,0.13,0
398,Optical Illusion,positive,0.6364910006523132,0.61,2
399,Stree 2 Collection,neutral,0.9047383069992064,0.07,0
400,Nick Jonas,neutral,0.7850620746612549,0.19,0
401,Sharmila Tagore,neutral,0.7059665322303772,0.23,0
402,Ginger Water,neutral,0.8528586626052856,0.09,0
403,Salman Khan,neutral,0.7434154748916626,0.2,0
404,Mollywood sexual News,neutral,0.6665018200874329,-0.25,0
405,Anupamaa,neutral,0.7477825284004211,0.06,0
406,Vijay Verma,neutral,0.6338542103767395,0.33,0
407,Aly Goni,neutral,0.7517592906951904,0.15,0
408,Shah Rukh Khan,neutral,0.6100053787231445,0.37,0
409,Passport Seva Portal Shut Down,neutral,0.5329268574714661,-0.44,0
410,Optical Illusion,positive,0.6364910006523132,0.61,2
411,Sudhanshu Pandey,neutral,0.8235027194023132,0.09,0
412,New Seven Wonders of the World,neutral,0.5717592239379883,0.39,0
413,About us,neutral,0.719754695892334,0.16,0
414,Terms of use,neutral,0.8588443994522095,0.0,0
415,Times Syndication Service,neutral,0.8823549747467041,0.03,0
